年,月,日,时间,水位(m),流量(m3/s),含沙量(kg/m3) ,排沙量
2016.0,1.0,1.0,0:00,42.79,357,0.825,294.525
2016.0,1.0,1.0,4:00,42.800000000000004,363,0.8105,294.2115
2016.0,1.0,1.0,8:00,42.800000000000004,363,0.796,288.94800000000004
2016.0,1.0,1.0,12:00,42.81,368,0.8022857142857143,295.24114285714285
2016.0,1.0,1.0,14:00,42.84,384,0.8085714285714286,310.49142857142857
2016.0,1.0,1.0,16:00,42.800000000000004,363,0.8148571428571428,295.79314285714287
2016.0,1.0,1.0,20:00,42.77,346,0.8211428571428572,284.1154285714286
2016.0,1.0,2.0,0:00,42.78,351,0.8274285714285714,290.42742857142855
2016.0,1.0,2.0,4:00,42.77,346,0.8337142857142857,288.4651428571429
2016.0,1.0,2.0,8:00,42.78,351,0.84,294.84
2016.0,1.0,2.0,10:00,42.81,368,0.816,300.28799999999995
2016.0,1.0,2.0,12:00,42.79,357,0.792,282.744
2016.0,1.0,2.0,16:00,42.79,357,0.768,274.176
2016.0,1.0,2.0,20:00,42.71,309,0.744,229.896
2016.0,1.0,3.0,0:00,42.7,304,0.72,218.88
2016.0,1.0,3.0,4:00,42.72,315,0.6960000000000001,219.24
2016.0,1.0,3.0,8:00,42.76,340,0.672,228.48000000000002
2016.0,1.0,3.0,12:00,42.79,357,0.6685000000000001,238.65450000000004
2016.0,1.0,3.0,16:00,42.78,351,0.665,233.41500000000002
2016.0,1.0,3.0,20:00,42.730000000000004,321,0.6615,212.3415
2016.0,1.0,4.0,0:00,42.75,334,0.658,219.77200000000002
2016.0,1.0,4.0,4:00,42.72,315,0.6545000000000001,206.16750000000002
2016.0,1.0,4.0,8:00,42.7,304,0.651,197.904
2016.0,1.0,4.0,12:00,42.74,329,0.657,216.15300000000002
2016.0,1.0,4.0,16:00,42.72,315,0.663,208.845
2016.0,1.0,4.0,20:00,42.72,315,0.669,210.735
2016.0,1.0,4.0,22:00,42.68,293,0.6749999999999999,197.77499999999998
2016.0,1.0,5.0,0:00,42.72,315,0.6809999999999999,214.515
2016.0,1.0,5.0,4:00,42.74,329,0.6869999999999999,226.02299999999997
2016.0,1.0,5.0,8:00,42.730000000000004,321,0.693,222.45299999999997
2016.0,1.0,5.0,12:00,42.75,334,0.6988571428571428,233.4182857142857
2016.0,1.0,5.0,16:00,42.730000000000004,321,0.7047142857142856,226.2132857142857
2016.0,1.0,5.0,18:00,42.76,340,0.7105714285714285,241.5942857142857
2016.0,1.0,5.0,20:00,42.76,340,0.7164285714285714,243.5857142857143
2016.0,1.0,6.0,0:00,42.78,351,0.7222857142857143,253.52228571428572
2016.0,1.0,6.0,4:00,42.75,334,0.7281428571428571,243.19971428571426
2016.0,1.0,6.0,8:00,42.77,346,0.734,253.964
2016.0,1.0,6.0,12:00,42.77,346,0.7307142857142856,252.82714285714283
2016.0,1.0,6.0,15:00,42.79,383,0.7274285714285714,278.6051428571429
2016.0,1.0,6.0,16:00,42.77,373,0.7241428571428571,270.1052857142857
2016.0,1.0,6.0,20:00,42.78,378,0.7208571428571429,272.484
2016.0,1.0,7.0,0:00,42.79,383,0.7175714285714285,274.8298571428571
2016.0,1.0,7.0,4:00,42.78,378,0.7142857142857143,270.0
2016.0,1.0,7.0,8:00,42.78,378,0.711,268.758
2016.0,1.0,7.0,12:00,42.79,383,0.737125,282.318875
2016.0,1.0,7.0,16:00,42.79,383,0.76325,292.32475
2016.0,1.0,7.0,18:00,42.81,392,0.7893749999999999,309.435
2016.0,1.0,7.0,20:00,42.77,373,0.8155,304.1815
2016.0,1.0,8.0,0:00,42.78,378,0.8416250000000001,318.13425
2016.0,1.0,8.0,4:00,42.78,378,0.86775,328.0095
2016.0,1.0,8.0,6:00,42.77,373,0.893875,333.415375
2016.0,1.0,8.0,8:00,42.79,383,0.92,352.36
2016.0,1.0,8.0,10:00,42.84,407,0.9245714285714286,376.30057142857146
2016.0,1.0,8.0,12:00,42.81,392,0.9291428571428572,364.224
2016.0,1.0,8.0,16:00,42.84,407,0.9337142857142857,380.02171428571427
2016.0,1.0,8.0,20:00,42.82,397,0.9382857142857143,372.49942857142855
2016.0,1.0,9.0,0:00,42.83,402,0.9428571428571428,379.0285714285714
2016.0,1.0,9.0,4:00,42.81,392,0.9474285714285714,371.392
2016.0,1.0,9.0,8:00,42.81,392,0.952,373.18399999999997
2016.0,1.0,9.0,12:00,42.81,392,0.9528749999999999,373.527
2016.0,1.0,9.0,16:00,42.82,397,0.95375,378.63875
2016.0,1.0,9.0,20:00,42.800000000000004,388,0.954625,370.3945
2016.0,1.0,9.0,22:00,42.79,383,0.9555,365.9565
2016.0,1.0,10.0,0:00,42.78,378,0.956375,361.50975
2016.0,1.0,10.0,2:00,42.800000000000004,388,0.9572499999999999,371.41299999999995
2016.0,1.0,10.0,4:00,42.800000000000004,388,0.958125,371.7525
2016.0,1.0,10.0,8:00,42.78,378,0.959,362.502
2016.0,1.0,10.0,12:00,42.77,373,0.948375,353.743875
2016.0,1.0,10.0,16:00,42.75,364,0.93775,341.341
2016.0,1.0,10.0,20:00,42.74,360,0.927125,333.765
2016.0,1.0,10.0,22:00,42.730000000000004,355,0.9165,325.3575
2016.0,1.0,11.0,0:00,42.71,346,0.905875,313.43275
2016.0,1.0,11.0,2:00,42.730000000000004,355,0.89525,317.81374999999997
2016.0,1.0,11.0,4:00,42.730000000000004,355,0.884625,314.041875
2016.0,1.0,11.0,8:00,42.67,328,0.874,286.672
2016.0,1.0,11.0,12:00,42.69,337,0.8721428571428571,293.91214285714284
2016.0,1.0,11.0,16:00,42.65,319,0.8702857142857143,277.62114285714284
2016.0,1.0,11.0,20:00,42.67,328,0.8684285714285714,284.84457142857144
2016.0,1.0,12.0,0:00,42.660000000000004,324,0.8665714285714285,280.76914285714287
2016.0,1.0,12.0,4:00,42.660000000000004,324,0.8647142857142857,280.16742857142856
2016.0,1.0,12.0,6:00,42.65,319,0.8628571428571429,275.25142857142856
2016.0,1.0,12.0,8:00,42.67,328,0.861,282.408
2016.0,1.0,12.0,12:00,42.69,337,0.8595714285714285,289.6755714285714
2016.0,1.0,12.0,16:00,42.71,346,0.8581428571428571,296.91742857142856
2016.0,1.0,12.0,18:00,42.72,350,0.8567142857142857,299.84999999999997
2016.0,1.0,12.0,20:00,42.7,341,0.8552857142857143,291.6524285714286
2016.0,1.0,13.0,0:00,42.7,341,0.8538571428571429,291.16528571428574
2016.0,1.0,13.0,4:00,42.72,350,0.8524285714285714,298.35
2016.0,1.0,13.0,8:00,42.75,364,0.851,309.764
2016.0,1.0,13.0,12:00,42.77,373,0.8555714285714285,319.12814285714285
2016.0,1.0,13.0,14:00,42.78,378,0.8601428571428571,325.13399999999996
2016.0,1.0,13.0,16:00,42.76,369,0.8647142857142857,319.0795714285714
2016.0,1.0,13.0,20:00,42.74,360,0.8692857142857143,312.9428571428572
2016.0,1.0,14.0,0:00,42.74,360,0.8738571428571429,314.5885714285714
2016.0,1.0,14.0,4:00,42.75,364,0.8784285714285714,319.748
2016.0,1.0,14.0,8:00,42.74,360,0.883,317.88
2016.0,1.0,14.0,12:00,42.800000000000004,388,0.8743333333333333,339.24133333333333
2016.0,1.0,14.0,16:00,42.77,373,0.8656666666666667,322.89366666666666
2016.0,1.0,14.0,20:00,42.72,350,0.857,299.95
2016.0,1.0,15.0,0:00,42.72,350,0.8483333333333333,296.91666666666663
2016.0,1.0,15.0,4:00,42.730000000000004,355,0.8396666666666667,298.08166666666665
2016.0,1.0,15.0,8:00,42.74,360,0.831,299.15999999999997
2016.0,1.0,15.0,12:00,42.77,373,0.835375,311.594875
2016.0,1.0,15.0,14:00,42.78,378,0.83975,317.4255
2016.0,1.0,15.0,16:00,42.76,369,0.844125,311.482125
2016.0,1.0,15.0,20:00,42.72,350,0.8485,296.975
2016.0,1.0,15.0,22:00,42.71,346,0.8528749999999999,295.09475
2016.0,1.0,16.0,0:00,42.71,346,0.85725,296.6085
2016.0,1.0,16.0,4:00,42.730000000000004,355,0.861625,305.876875
2016.0,1.0,16.0,8:00,42.730000000000004,355,0.866,307.43
2016.0,1.0,16.0,10:00,42.76,369,0.8691428571428571,320.7137142857143
2016.0,1.0,16.0,12:00,42.75,364,0.8722857142857143,317.512
2016.0,1.0,16.0,16:00,42.74,360,0.8754285714285714,315.1542857142857
2016.0,1.0,16.0,20:00,42.730000000000004,355,0.8785714285714286,311.8928571428571
2016.0,1.0,17.0,0:00,42.72,350,0.8817142857142857,308.59999999999997
2016.0,1.0,17.0,4:00,42.67,328,0.8848571428571429,290.23314285714287
2016.0,1.0,17.0,8:00,42.69,337,0.888,299.25600000000003
2016.0,1.0,17.0,12:00,42.67,328,0.8863333333333333,290.71733333333333
2016.0,1.0,17.0,16:00,42.660000000000004,324,0.8846666666666667,286.632
2016.0,1.0,17.0,20:00,42.660000000000004,324,0.883,286.092
2016.0,1.0,18.0,0:00,42.64,315,0.8813333333333333,277.62
2016.0,1.0,18.0,4:00,42.660000000000004,324,0.8796666666666667,285.012
2016.0,1.0,18.0,8:00,42.660000000000004,324,0.878,284.472
2016.0,1.0,18.0,12:00,42.69,337,0.8872857142857142,299.0152857142857
2016.0,1.0,18.0,16:00,42.7,341,0.8965714285714286,305.73085714285713
2016.0,1.0,18.0,18:00,42.72,350,0.9058571428571428,317.04999999999995
2016.0,1.0,18.0,20:00,42.69,337,0.9151428571428571,308.4031428571429
2016.0,1.0,19.0,0:00,42.72,350,0.9244285714285714,323.54999999999995
2016.0,1.0,19.0,4:00,42.74,360,0.9337142857142857,336.13714285714286
2016.0,1.0,19.0,8:00,42.74,360,0.943,339.47999999999996
2016.0,1.0,19.0,12:00,42.79,383,0.9332857142857143,357.44842857142856
2016.0,1.0,19.0,16:00,42.77,373,0.9235714285714285,344.4921428571428
2016.0,1.0,19.0,20:00,42.730000000000004,355,0.9138571428571428,324.4192857142857
2016.0,1.0,20.0,0:00,42.75,364,0.9041428571428571,329.108
2016.0,1.0,20.0,4:00,42.74,360,0.8944285714285715,321.99428571428575
2016.0,1.0,20.0,6:00,42.730000000000004,355,0.8847142857142857,314.0735714285714
2016.0,1.0,20.0,8:00,42.75,364,0.875,318.5
2016.0,1.0,20.0,12:00,42.75,364,0.91,331.24
2016.0,1.0,20.0,14:00,42.76,369,0.9450000000000001,348.70500000000004
2016.0,1.0,20.0,16:00,42.76,369,0.9800000000000001,361.62000000000006
2016.0,1.0,20.0,20:00,42.74,360,1.0150000000000001,365.40000000000003
2016.0,1.0,21.0,0:00,42.75,364,1.05,382.2
2016.0,1.0,21.0,4:00,42.730000000000004,355,1.0850000000000002,385.17500000000007
2016.0,1.0,21.0,8:00,42.74,360,1.12,403.20000000000005
2016.0,1.0,21.0,12:00,42.76,369,1.1275000000000002,416.04750000000007
2016.0,1.0,21.0,14:00,42.78,378,1.135,429.03000000000003
2016.0,1.0,21.0,16:00,42.76,369,1.1425,421.58250000000004
2016.0,1.0,21.0,20:00,42.74,360,1.15,413.99999999999994
2016.0,1.0,21.0,22:00,42.72,350,1.1575,405.125
2016.0,1.0,22.0,0:00,42.730000000000004,355,1.165,413.575
2016.0,1.0,22.0,4:00,42.71,346,1.1724999999999999,405.68499999999995
2016.0,1.0,22.0,8:00,42.7,341,1.18,402.38
2016.0,1.0,22.0,12:00,42.67,328,1.1218571428571429,367.96914285714286
2016.0,1.0,22.0,16:00,42.64,315,1.0637142857142856,335.07
2016.0,1.0,22.0,20:00,42.63,311,1.0055714285714286,312.7327142857143
2016.0,1.0,22.0,22:00,42.620000000000005,306,0.9474285714285714,289.9131428571429
2016.0,1.0,23.0,0:00,42.6,298,0.8892857142857142,265.00714285714287
2016.0,1.0,23.0,4:00,42.6,298,0.8311428571428572,247.68057142857145
2016.0,1.0,23.0,8:00,42.61,302,0.773,233.446
2016.0,1.0,23.0,12:00,42.65,319,0.7608333333333334,242.70583333333335
2016.0,1.0,23.0,16:00,42.61,302,0.7486666666666667,226.09733333333335
2016.0,1.0,23.0,20:00,42.550000000000004,278,0.7364999999999999,204.74699999999999
2016.0,1.0,24.0,0:00,42.54,274,0.7243333333333333,198.46733333333333
2016.0,1.0,24.0,4:00,42.47,249,0.7121666666666666,177.3295
2016.0,1.0,24.0,8:00,42.5,296,0.7,207.2
2016.0,1.0,24.0,12:00,42.410000000000004,270,0.707,190.89
2016.0,1.0,24.0,16:00,42.300000000000004,242,0.714,172.78799999999998
2016.0,1.0,24.0,20:00,42.38,262,0.721,188.902
2016.0,1.0,25.0,0:00,42.47,287,0.728,208.936
2016.0,1.0,25.0,4:00,42.49,293,0.735,215.355
2016.0,1.0,25.0,8:00,42.410000000000004,229,0.742,169.918
2016.0,1.0,25.0,12:00,42.39,223,0.88,196.24
2016.0,1.0,25.0,16:00,42.44,239,1.018,243.302
2016.0,1.0,25.0,20:00,42.47,249,1.1560000000000001,287.84400000000005
2016.0,1.0,26.0,0:00,42.46,246,1.294,318.324
2016.0,1.0,26.0,4:00,42.47,249,1.432,356.568
2016.0,1.0,26.0,8:00,42.51,263,1.57,412.91
2016.0,1.0,26.0,12:00,42.480000000000004,252,1.4833333333333334,373.8
2016.0,1.0,26.0,16:00,42.54,274,1.3966666666666667,382.68666666666667
2016.0,1.0,26.0,20:00,42.550000000000004,278,1.31,364.18
2016.0,1.0,27.0,0:00,42.58,290,1.2233333333333334,354.7666666666667
2016.0,1.0,27.0,4:00,42.550000000000004,278,1.1366666666666667,315.99333333333334
2016.0,1.0,27.0,8:00,42.56,282,1.05,296.1
2016.0,1.0,27.0,12:00,42.52,267,1.1366666666666667,303.49
2016.0,1.0,27.0,16:00,42.51,263,1.2233333333333334,321.7366666666667
2016.0,1.0,27.0,20:00,42.51,263,1.31,344.53000000000003
2016.0,1.0,28.0,0:00,42.5,260,1.3966666666666667,363.1333333333333
2016.0,1.0,28.0,4:00,42.480000000000004,252,1.4833333333333334,373.8
2016.0,1.0,28.0,8:00,42.49,256,1.57,401.92
2016.0,1.0,28.0,12:00,42.49,256,1.5814285714285714,404.8457142857143
2016.0,1.0,28.0,16:00,42.54,274,1.592857142857143,436.4428571428572
2016.0,1.0,28.0,20:00,42.51,263,1.6042857142857143,421.9271428571429
2016.0,1.0,29.0,0:00,42.52,267,1.6157142857142857,431.3957142857143
2016.0,1.0,29.0,2:00,42.44,239,1.627142857142857,388.8871428571428
2016.0,1.0,29.0,4:00,42.59,294,1.6385714285714286,481.74
2016.0,1.0,29.0,8:00,42.58,243,1.65,400.95
2016.0,1.0,29.0,12:00,42.620000000000005,262,1.6266666666666665,426.1866666666666
2016.0,1.0,29.0,16:00,42.65,277,1.6033333333333333,444.12333333333333
2016.0,1.0,29.0,20:00,42.620000000000005,262,1.58,413.96000000000004
2016.0,1.0,30.0,0:00,42.64,272,1.5566666666666666,423.4133333333333
2016.0,1.0,30.0,4:00,42.67,288,1.5333333333333332,441.59999999999997
2016.0,1.0,30.0,8:00,42.69,298,1.51,449.98
2016.0,1.0,30.0,10:00,42.730000000000004,321,1.4857142857142858,476.9142857142857
2016.0,1.0,30.0,12:00,42.71,309,1.4614285714285715,451.5814285714286
2016.0,1.0,30.0,16:00,42.68,293,1.4371428571428573,421.08285714285716
2016.0,1.0,30.0,20:00,42.68,293,1.4128571428571428,413.96714285714285
2016.0,1.0,31.0,0:00,42.660000000000004,282,1.3885714285714286,391.57714285714286
2016.0,1.0,31.0,4:00,42.660000000000004,282,1.3642857142857143,384.72857142857146
2016.0,1.0,31.0,8:00,42.660000000000004,282,1.34,377.88
2016.0,1.0,31.0,12:00,42.69,298,1.3466666666666667,401.3066666666667
2016.0,1.0,31.0,16:00,42.61,258,1.3533333333333333,349.15999999999997
2016.0,1.0,31.0,20:00,42.620000000000005,262,1.3599999999999999,356.32
2016.0,2.0,1.0,0:00,42.63,267,1.3666666666666667,364.90000000000003
2016.0,2.0,1.0,4:00,42.54,226,1.3733333333333333,310.37333333333333
2016.0,2.0,1.0,8:00,42.620000000000005,262,1.38,361.55999999999995
2016.0,2.0,1.0,12:00,42.65,277,1.33375,369.44875
